Municipio,Cve_Municipio,Total_Crimes
Chicontepec,30058,253
Chicxulub Pueblo,31020,0
Chietla,21051,326
Chigmecatitlán,21052,8
Chignahuapan,21053,720
Chignautla,21054,178
Chihuahua,8019,23499
Chikindzonot,31022,1
Chila,21055,28
Chila de la Sal,21056,8
Chilapa de Álvarez,12028,174
Chilchota,16025,273
Chilchotla,21058,33
Chilcuautla,13019,112
Chilpancingo de los Bravo,12029,3902
Chilón,7031,88
Chimalhuacán,15031,13687
Chimaltitán,14031,8
China,19013,106
Chinameca,30059,139
Chinampa de Gorostiza,30060,87
Chinantla,21059,20
Chinicuila,16026,25
Chiquihuitlán de Benito Juárez,20027,7
Chiquilistlán,14032,18
Chocamán,30062,104
Chocholá,31023,2
Choix,25007,157
Chontla,30063,48
Chucándiro,16027,24
Chumatlán,30064,26
Chumayel,31024,0
Churintzio,16028,67
Churumuco,16029,10
Chínipas,8020,25
Cihuatlán,14022,402
Cintalapa,7017,231
Citlaltépetl,30035,55
Ciudad Fernández,24011,811
Ciudad Ixtepec,20014,372
Ciudad Madero,28009,2534
Ciudad Valles,24013,3957
Ciudad del Maíz,24010,408
Ciénega de Flores,19012,1272
Ciénega de Zimatlán,20013,10
Coacalco de Berriozábal,15020,7035
Coacoatzintla,30036,111
Coahuayana,16014,95
Coahuayutla de José María Izazaga,12016,2
Coahuitlán,30037,27
Coalcomán de Vázquez Pallares,16015,111
Coapilla,7018,11
Coatecas Altas,20015,13
Coatepec,21030,6
Coatepec,30038,986
Coatepec Harinas,15021,299
Coatetelco,17034,102
Coatlán del Río,17005,159
Coatzacoalcos,30039,4151
Coatzingo,21031,9
Coatzintla,30040,416
Cochoapa el Grande,12078,98
Cocotitlán,15022,436
Cocula,12017,41
Cocula,14024,328
Coeneo,16016,87
Coetzala,30041,16
Cohetzala,21032,5
Cohuecan,21033,24
Coicoyán de las Flores,20016,10
Cojumatlán de Régules,16074,27
Colima,6002,7715
Colipa,30042,27
Colotlán,14025,217
Colón,22005,827
Comala,6003,553
Comalcalco,27005,3499
Comapa,30043,68
Comitán de Domínguez,7019,496
Comondú,3001,1481
Comonfort,11009,1409
Compostela,18004,718
Concepción Buenavista,20018,8
Concepción Pápalo,20019,6
Concepción de Buenos Aires,14026,22
Concepción del Oro,32007,121
Concordia,25004,147
Coneto de Comonfort,10003,0
Conkal,31013,1
Constancia del Rosario,20020,11
Contepec,16017,99
Contla de Juan Cuamatzi,29018,69
